pk,date,hour,venue_id,venue,home_id,home,away_id,away,home_score,away_score,total,home_sp,away_sp,home_sp_name,away_sp_name,season,home_era,away_era,home_ip,away_ip
718780,2023-03-30,17,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,2,7,9,571578,608331,Patrick Corbin,Max Fried,2023,,,0,0
718781,2023-03-30,17,3313,Yankee Stadium,147,New York Yankees,137,San Francisco Giants,5,0,5,543037,657277,Gerrit Cole,Logan Webb,2023,,,0,0
718782,2023-03-30,18,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,9,10,19,446372,502043,Corey Kluber,Kyle Gibson,2023,,,0,0
718777,2023-03-30,18,17,Wrigley Field,112,Chicago Cubs,158,Milwaukee Brewers,4,0,4,573186,669203,Marcus Stroman,Corbin Burnes,2023,,,0,0
718776,2023-03-30,19,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,4,0,4,663556,593958,Shane McClanahan,Eduardo Rodriguez,2023,,,0,0
718779,2023-03-30,20,5325,Globe Life Field,140,Texas Rangers,143,Philadelphia Phillies,11,7,18,594798,605400,Jacob deGrom,Aaron Nola,2023,,,0,0
718773,2023-03-30,20,2602,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,4,5,9,668881,656605,Hunter Greene,Mitch Keller,2023,,,0,0
718772,2023-03-30,20,2889,Busch Stadium,138,St. Louis Cardinals,141,Toronto Blue Jays,9,10,19,571945,666201,Miles Mikolas,Alek Manoah,2023,,,0,0
718775,2023-03-30,20,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,0,2,2,425844,641154,Zack Greinke,Pablo López,2023,,,0,0
718774,2023-03-30,20,4169,loanDepot park,146,Miami Marlins,121,New York Mets,3,5,8,645261,453286,Sandy Alcantara,Max Scherzer,2023,,,0,0
718768,2023-03-30,23,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,2,3,5,664285,656302,Framber Valdez,Dylan Cease,2023,,,0,0
718778,2023-03-31,1,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,2,7,9,605483,608566,Blake Snell,Germán Márquez,2023,,,4.3,6.0
718769,2023-03-31,2,10,Oakland Coliseum,133,Oakland Athletics,108,Los Angeles Angels,2,1,3,666205,660271,Kyle Muller,Shohei Ohtani,2023,,,5.0,6.0
718770,2023-03-31,2,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,8,2,10,628711,668678,Julio Urías,Zac Gallen,2023,,,6.0,4.7
718767,2023-03-31,2,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,3,0,3,622491,669456,Luis Castillo,Shane Bieber,2023,,,6.0,6.0
718771,2023-03-31,22,4169,loanDepot park,146,Miami Marlins,121,New York Mets,2,1,3,666200,656849,Jesús Luzardo,David Peterson,2023,,,0,0
718764,2023-04-01,0,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,6,3,9,664299,458681,Cristian Javier,Lance Lynn,2023,,,5.0,5.7
718766,2023-04-01,1,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,1,4,5,607259,607536,Nick Martinez,Kyle Freeland,2023,,,7.0,6.0
718765,2023-04-01,2,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,1,2,3,669160,518876,Dustin May,Merrill Kelly,2023,,,7.0,3.7
718763,2023-04-01,2,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,4,9,13,592662,683769,Robbie Ray,Hunter Gaddis,2023,,,3.3,3.7
718760,2023-04-01,18,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,6,4,10,664353,608337,José Urquidy,Lucas Giolito,2023,,,0,0
718759,2023-04-01,18,2889,Busch Stadium,138,St. Louis Cardinals,141,Toronto Blue Jays,4,1,5,656427,592332,Jack Flaherty,Kevin Gausman,2023,,,0,0
718758,2023-04-01,18,17,Wrigley Field,112,Chicago Cubs,158,Milwaukee Brewers,1,3,4,657006,605540,Justin Steele,Brandon Woodruff,2023,,,0,0
718752,2023-04-01,20,5325,Globe Life Field,140,Texas Rangers,143,Philadelphia Phillies,16,3,19,543135,554430,Nathan Eovaldi,Zack Wheeler,2023,,,0,0
718753,2023-04-01,20,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,1,7,8,680686,675911,Josiah Gray,Spencer Strider,2023,,,0,0
718762,2023-04-01,20,3313,Yankee Stadium,147,New York Yankees,137,San Francisco Giants,5,7,12,657376,502171,Clarke Schmidt,Alex Cobb,2023,,,0,0
718757,2023-04-01,20,10,Oakland Coliseum,133,Oakland Athletics,108,Los Angeles Angels,1,13,14,660261,663776,Shintaro Fujinami,Patrick Sandoval,2023,,,0,0
718761,2023-04-01,20,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,9,8,17,519242,665152,Chris Sale,Dean Kremer,2023,,,0,0
718756,2023-04-01,20,2602,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,6,2,8,666157,448179,Nick Lodolo,Rich Hill,2023,,,0,0
718754,2023-04-01,20,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,12,2,14,621107,605513,Zach Eflin,Spencer Turnbull,2023,,,0,0
718751,2023-04-01,20,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,0,2,2,543475,543243,Jordan Lyles,Sonny Gray,2023,,,0,0
718755,2023-04-01,20,4169,loanDepot park,146,Miami Marlins,121,New York Mets,2,6,8,665795,656731,Edward Cabrera,Tylor Megill,2023,,,0,0
718750,2023-04-02,0,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,8,4,12,608379,570632,Michael Wacha,José Ureña,2023,,,6.0,2.3
718749,2023-04-02,1,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,10,1,11,477132,518516,Clayton Kershaw,Madison Bumgarner,2023,,,6.0,4.0
718746,2023-04-02,1,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,0,2,2,669302,650644,Logan Gilbert,Aaron Civale,2023,,,6.0,7.0
718742,2023-04-02,17,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,5,1,6,605488,666214,Jeffrey Springs,Joey Wentz,2023,,,0,0
718748,2023-04-02,17,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,9,5,14,656557,608344,Tanner Houck,Cole Irvin,2023,,,0,0
718743,2023-04-02,17,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,4,1,5,669022,694363,MacKenzie Gore,Jared Shuster,2023,,,0,0
